ID,Latitude,Longitude,Region,Type,Collection Date,d2H,d18O,D17O,d2H_Analytical_SD,d18O_Analytical_SD
A_Bone,,,,,,-70.096,-9.662249264,,,
A_Enamel,,,,,,-40.629,-6.352576273,,,
B_Bone,,,,,,-71.4830017,-9.866162766,,,
B_Enamel,,,,,,-62.2820015,-8.674053063,,,
C_Enamel,,,,,,-62.10100174,-8.015255596,,,
D_Bone,,,,,,-51.35900116,-7.121173318,,,
D_Enamel,,,,,,-61.15599823,-6.352576273,,,
E_Bone,,,,,,-90.31099701,-10.9798442,,,
E_Enamel,,,,,,-68.14499664,-8.862280911,,,
F_Enamel,,,,,,-95.68299866,-12.29743913,,,
G_Bone,,,,,,-69.29599762,-8.987766143,,,
G_Enamel,,,,,,-68.94799805,-9.317164876,,,
H_Bone,,,,,,-63.57600021,-8.768166987,,,
H_Enamel,,,,,,-39.63100052,-5.70946446,,,
I_Bone,,,,,,-61.88299942,-8.611310447,,,
I_Enamel,,,,,,-61.88299942,-8.611310447,,,
