,Latitude,Longitude,Region,Type,Collection Date,d2H,d18O,D17O,d2H_Analytical_SD,d18O_Analytical_SD
Country Code,32.6,-116.2867819,North Mexico,Tap,1/1/01,-82.45400238,-9.80700016,,,
Country Code,32.6,-116.0367819,North Mexico,Tap,1/1/01,-86.25499725,-10.36100006,,,
Country Code,32.6,-115.7867819,North Mexico,Tap,1/1/01,-90.31099701,-10.96800041,,,
Country Code,32.6,-115.5367819,North Mexico,Tap,1/1/01,-94.50299835,-11.61900043,,,
Country Code,32.6,-115.2867819,North Mexico,Tap,1/1/01,-95.79000092,-11.84300041,,,
Country Code,32.6,-115.0367819,North Mexico,Tap,1/1/01,-95.97499847,-11.92800045,,,
Country Code,32.6,-114.7867819,North Mexico,Tap,1/1/01,-95.68299866,-11.95400047,,,
Country Code,32.35,-117.0367819,North Mexico,Tap,1/1/01,-67.57099915,-8.211999893,,,
Country Code,32.35,-116.7867819,North Mexico,Tap,1/1/01,-72.18000031,-8.652999878,,,
Country Code,32.35,-116.5367819,North Mexico,Tap,1/1/01,-77.72899628,-9.230999947,,,
Country Code,32.35,-116.2867819,North Mexico,Tap,1/1/01,-81.68199921,-9.73900032,,,
Country Code,32.35,-116.0367819,North Mexico,Tap,1/1/01,-85.35399628,-10.25800037,,,
Country Code,32.35,-115.7867819,North Mexico,Tap,1/1/01,-88.93399811,-10.78600025,,,
Country Code,32.35,-115.5367819,North Mexico,Tap,1/1/01,-92.02600098,-11.26299953,,,
Country Code,32.35,-115.2867819,North Mexico,Tap,1/1/01,-93.96299744,-11.5880003,,,
Country Code,32.35,-115.0367819,North Mexico,Tap,1/1/01,-95.02300262,-11.81000042,,,
Country Code,32.35,-114.7867819,North Mexico,Tap,1/1/01,-95.23799896,-11.91800022,,,
Country Code,32.35,-114.5367819,North Mexico,Tap,1/1/01,-92.54699707,-11.52900028,,,
Country Code,32.1,-116.7867819,North Mexico,Tap,1/1/01,-72.27600098,-8.704999924,,,
Country Code,32.1,-116.5367819,North Mexico,Tap,1/1/01,-76.26300049,-9.140000343,,,
Country Code,32.1,-116.2867819,North Mexico,Tap,1/1/01,-79.96900177,-9.590000153,,,
Country Code,32.1,-116.0367819,North Mexico,Tap,1/1/01,-83.32900238,-10.0369997,,,
